agent_id,role,scenario_tag,persona_summary,decision_style,bound_vendor_id,trust_network,memory_seed_1,memory_seed_2,memory_seed_3,behavioral_rule_1,behavioral_rule_2,behavioral_rule_3,mirofish_weight
AGENT-001,vendor_agent,scenario_1,"Price-aggressive, monitors competitor bids via industry contacts, willing to undercut 15% to win volume",opportunistic,V001,AGENT-008|AGENT-010|AGENT-014,Won contract worth €714K in 2023 after aggressive bid,Lost 2 bids to competitors in last 12 months due to price,Experienced port delay impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.83
AGENT-002,vendor_agent,scenario_1,"Relationship-driven, rarely drops below cost, expects multi-year contracts, risk averse",risk_averse,V002,AGENT-007|AGENT-015|AGENT-012,Won contract worth €670K in 2022 after aggressive bid,Lost 1 bids to competitors in last 12 months due to price,Experienced port delay impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.79
AGENT-003,vendor_agent,scenario_1,"Volatile pricing, capacity constraints in Q3, likely to withdraw if lead time < 30 days",volatile,V003,AGENT-015|AGENT-014|AGENT-009,Won contract worth €686K in 2022 after aggressive bid,Lost 1 bids to competitors in last 12 months due to price,Experienced quality dispute impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.95
AGENT-004,vendor_agent,scenario_1,"Conservative, ISO-certified, slow to adapt pricing, prioritises on-time reputation",risk_averse,V004,AGENT-001|AGENT-016|AGENT-007,Won contract worth €678K in 2022 after aggressive bid,Lost 1 bids to competitors in last 12 months due to price,Experienced quality dispute impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.84
AGENT-005,vendor_agent,scenario_1,"New entrant, unknown to buyer, will underbid to gain reference customer",aggressive,V005,AGENT-012|AGENT-007,Won contract worth €290K in 2021 after aggressive bid,Lost 2 bids to competitors in last 12 months due to price,Experienced quality dispute impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.91
AGENT-006,vendor_agent,scenario_6,"Port-dependent, highly exposed to Hamburg delays, has 3 weeks buffer stock",risk_averse,V006,AGENT-007|AGENT-002|AGENT-010,Won contract worth €259K in 2021 after aggressive bid,Lost 3 bids to competitors in last 12 months due to price,Experienced currency shock impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.62
AGENT-007,vendor_agent,scenario_6,"Diversified logistics, can switch to air freight +12% cost, resilient to port disruptions",collaborative,V007,AGENT-009|AGENT-002|AGENT-013,Won contract worth €618K in 2022 after aggressive bid,Lost 2 bids to competitors in last 12 months due to price,Experienced quality dispute impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.89
AGENT-008,vendor_agent,scenario_6,"Single-source raw material from China, tariff spike will trigger 18% price increase within 2 weeks",risk_averse,V008,AGENT-005|AGENT-012,Won contract worth €497K in 2023 after aggressive bid,Lost 2 bids to competitors in last 12 months due to price,Experienced quality dispute impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.7
AGENT-009,vendor_agent,scenario_6,"Has rare earth inventory hedge until Q2 2025, can hold price for 60 days",opportunistic,V009,AGENT-011|AGENT-014|AGENT-006,Won contract worth €451K in 2022 after aggressive bid,Lost 1 bids to competitors in last 12 months due to price,Experienced port delay impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.95
AGENT-010,vendor_agent,scenario_7,"Unknown vendor, bootstrapped from 2 analogous archived vendor profiles, medium trust prior",collaborative,V010,AGENT-005|AGENT-014|AGENT-007,Won contract worth €232K in 2023 after aggressive bid,Lost 3 bids to competitors in last 12 months due to price,Experienced currency shock impacting last delivery,IF competitor bids > 10% above my cost THEN undercut by 8%,IF lead time requested < 21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.91
