agent_id,role,scenario_tag,persona_summary,decision_style,bound_vendor_id,trust_network,memory_seed_1,memory_seed_2,memory_seed_3,behavioral_rule_1,behavioral_rule_2,behavioral_rule_3,mirofish_weight
AGENT-001,vendor_agent,scenario_1,Price-aggressive; monitors competitor bids; will undercut 15% for volume,opportunistic,V001,AGENT-010|AGENT-003|AGENT-007,Won contract worth €734K in 2021,Lost 2 bids to competitors in last 12 months on price,Experienced FX shock last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.63
AGENT-002,vendor_agent,scenario_1,Relationship-driven; rarely drops below cost; expects multi-year contracts,risk_averse,V002,AGENT-007|AGENT-009|AGENT-010,Won contract worth €578K in 2022,Lost 2 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.9
AGENT-003,vendor_agent,scenario_1,Volatile pricing; capacity constraints Q3; likely to withdraw if lead < 30d,volatile,V003,AGENT-009|AGENT-013|AGENT-001,Won contract worth €532K in 2023,Lost 2 bids to competitors in last 12 months on price,Experienced FX shock last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.78
AGENT-004,vendor_agent,scenario_1,Conservative; ISO-certified; slow to adapt pricing; prioritises OTD rep,risk_averse,V004,AGENT-009|AGENT-013,Won contract worth €754K in 2021,Lost 1 bids to competitors in last 12 months on price,Experienced FX shock last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.94
AGENT-005,vendor_agent,scenario_1,New entrant; will underbid to gain reference customer,aggressive,V005,AGENT-015|AGENT-004,Won contract worth €604K in 2021,Lost 1 bids to competitors in last 12 months on price,Experienced FX shock last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.62
AGENT-006,vendor_agent,scenario_6,Port-dependent; exposed to Hamburg delays; 3-week buffer stock only,risk_averse,V006,AGENT-005|AGENT-014|AGENT-002,Won contract worth €593K in 2022,Lost 1 bids to competitors in last 12 months on price,Experienced port delay last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.64
AGENT-007,vendor_agent,scenario_6,Diversified logistics; can switch to air freight +12% cost,collaborative,V007,AGENT-011|AGENT-012|AGENT-015,Won contract worth €526K in 2023,Lost 2 bids to competitors in last 12 months on price,Experienced FX shock last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.8
AGENT-008,vendor_agent,scenario_6,Single-source raw material from China; tariff spike → +18% in 2 weeks,risk_averse,V008,AGENT-009|AGENT-011,Won contract worth €735K in 2022,Lost 2 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.9
AGENT-009,vendor_agent,scenario_6,Has rare earth inventory hedge until Q2 2025; can hold price 60 days,opportunistic,V009,AGENT-012|AGENT-016|AGENT-006,Won contract worth €302K in 2021,Lost 2 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.77
AGENT-010,vendor_agent,scenario_7,Unknown vendor; bootstrapped from 2 analog profiles; medium trust prior,collaborative,V010,AGENT-001|AGENT-017|AGENT-016,Won contract worth €595K in 2023,Lost 2 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.81
