snapshot_id,vendor_id,vendor_name,month,month_index,relationship_arc,price_index,on_time_delivery_rate,response_rate,quality_score,n_rfqs_invited,n_rfqs_responded,n_bids_submitted,n_pos_won,win_rate_6mo,capacity_utilization,defect_rate_ppm,payment_pct_on_time,payment_avg_days_late
VP-V001-202401,V001,Kovacs Precision GmbH,2024-01-01,0,declining,0.932,1.0,0.878,9.0,1,1,1,1,1.0,75.1,331.0,0.0,2.0
VP-V002-202401,V002,Tanaka Electrical KK,2024-01-01,0,stable,1.039,0.857,0.82,9.38,8,7,7,7,0.875,79.7,139.0,0.857,0.6
VP-V003-202401,V003,Patel Alloys Pvt Ltd,2024-01-01,0,improving,0.986,0.0,0.771,7.73,1,1,1,1,1.0,63.6,272.0,1.0,0.0
VP-V004-202401,V004,Strömberg Hydraulics AB,2024-01-01,0,stable,1.041,1.0,0.839,9.2,1,1,1,1,1.0,66.9,443.0,1.0,0.0
VP-V005-202401,V005,Cerro Negro Metals SA,2024-01-01,0,stable,0.849,0.0,0.885,7.69,1,1,1,1,1.0,87.3,162.0,1.0,0.0
VP-V006-202401,V006,Bright Spark Electronics Ltd,2024-01-01,0,stable,0.955,0.857,0.706,7.04,8,7,7,7,0.875,80.8,333.0,0.714,2.3
VP-V007-202401,V007,Nakamura Tooling Co.,2024-01-01,0,stable,1.043,1.0,0.818,9.21,1,1,1,1,1.0,66.3,148.0,0.0,1.0
VP-V008-202401,V008,Delta Composites Inc.,2024-01-01,0,stable,0.873,1.0,0.766,7.55,1,1,1,1,1.0,83.0,234.0,1.0,0.0
VP-V009-202401,V009,Fischer & Söhne KG,2024-01-01,0,stable,1.018,1.0,0.835,8.69,1,1,1,1,1.0,62.8,264.0,1.0,0.0
VP-V010-202401,V010,Adriatic Fastenings d.o.o.,2024-01-01,0,stable,0.881,0.764,0.818,7.48,1,1,1,0,0.0,79.8,389.0,,
VP-V011-202401,V011,Solaris Power Components,2024-01-01,0,stable,0.998,0.8,0.728,7.03,8,6,6,5,0.625,89.8,470.0,1.0,0.0
VP-V012-202401,V012,Indra Copper Works,2024-01-01,0,improving,0.932,1.0,0.776,8.24,1,1,1,1,1.0,64.2,341.0,1.0,0.0
VP-V013-202401,V013,Vantage Sensors GmbH,2024-01-01,0,stable,1.014,1.0,0.863,8.9,8,5,5,5,0.625,65.3,168.0,1.0,0.0
VP-V014-202401,V014,Coastal Alloys Pty Ltd,2024-01-01,0,stable,0.941,0.857,0.805,8.58,1,0,0,0,0.0,73.7,234.0,,
VP-V015-202401,V015,Nordic Steel AS,2024-01-01,0,stable,0.994,1.0,0.873,9.01,1,1,1,1,1.0,67.2,232.0,1.0,0.0
VP-V016-202401,V016,Precision Arc Systems,2024-01-01,0,stable,0.936,0.6,0.658,7.08,8,5,5,5,0.625,84.6,429.0,1.0,0.0
