signal_id,date,signal_type,source,headline,full_text,affected_commodities,sentiment_score,credibility_score,cascade_potential,mirofish_tag
SIG-001,2024-02-14,news,Supply chain,Steel mills in Germany report 8% capacity reduction due to energy cost pressures,Steel mills in Germany report 8% capacity reduction due to energy cost pressures; HR coil lead times extending to 10-12 weeks.,Steel HR Coil,-0.4,0.85,0.6,scenario_1
SIG-002,2024-03-28,policy,EU Trade,EU Commission introduces anti-dumping duties of 18.7% on certain Chinese electri,EU Commission introduces anti-dumping duties of 18.7% on certain Chinese electrical components effective April 15. Guangzhou-based exporters face immediate pricing pressure.,PCB FR4 Laminate|Servo Motor 5kW,-0.7,0.92,0.8,scenario_6
SIG-003,2024-05-10,price_data,LME,"Copper touches 2-year high of $9,450/MT on LME amid supply constraints from Chil","Copper touches 2-year high of $9,450/MT on LME amid supply constraints from Chilean mines; analysts expect sustained pressure through Q3.",Copper Wire Rod,-0.5,0.95,0.7,scenario_6
SIG-004,2024-06-20,rumor,Industry,Unconfirmed reports suggest Tanaka Electrical KK considering capacity expansion ,Unconfirmed reports suggest Tanaka Electrical KK considering capacity expansion at Osaka facility; could reduce lead times H2 2024.,,0.3,0.4,0.3,background
SIG-005,2024-07-04,news,Geopolitical,Port of Hamburg faces 3-week backlog following dock worker strike; automotive an,Port of Hamburg faces 3-week backlog following dock worker strike; automotive and industrial shipments most affected. Rerouting via Rotterdam adds 5-7 days.,Steel HR Coil|Stainless 316L,-0.8,0.9,0.75,scenario_6
SIG-006,2024-08-15,financial_report,Reuters,Cerro Negro Metals Q2 results: revenue down 12% YoY; CFO signals aggressive pric,Cerro Negro Metals Q2 results: revenue down 12% YoY; CFO signals aggressive pricing strategy to recapture volume in H2 2024.,Steel HR Coil|Aluminium 6061,0.2,0.88,0.5,scenario_1
SIG-007,2024-09-02,policy,US Trade,US imposes 25% tariff on aluminium imports from select Southeast Asian countries,US imposes 25% tariff on aluminium imports from select Southeast Asian countries; global aluminium markets react with +7% spike. Indian exporters gain relative advantage.,Aluminium 6061,-0.6,0.94,0.8,scenario_6
SIG-008,2024-09-20,internal,Meridian,Meridian secures major contract with Embraer for robotic assembly cell delivery.,Meridian secures major contract with Embraer for robotic assembly cell delivery. Order book grows 28% creating both opportunity and cash flow timing pressure.,,0.6,1.0,0.3,background
SIG-009,2024-10-11,news,Logistics,Suez Canal alternative routing adds 12-14 days to Asia-Europe shipments; Indian ,Suez Canal alternative routing adds 12-14 days to Asia-Europe shipments; Indian and Chinese vendor lead times under pressure. Air freight premium up 40%.,,-0.5,0.88,0.65,scenario_1
SIG-010,2024-11-05,price_data,Fastmarkets,Stainless 316L premiums in Europe reach 18-month high; tightening scrap availabi,Stainless 316L premiums in Europe reach 18-month high; tightening scrap availability and strong automotive demand cited as primary drivers.,Stainless 316L,-0.4,0.92,0.55,scenario_1
SIG-011,2024-11-15,internal,Meridian,Meridian wins ₹340Cr BHEL contract for CNC machine supply. Strong Q4 pipeline bu,Meridian wins ₹340Cr BHEL contract for CNC machine supply. Strong Q4 pipeline but procurement team under pressure to contain material costs.,,0.7,1.0,0.25,background
SIG-012,2024-12-19,news,Industry,Meridian competitor Hexagon AG announces 30% capacity ramp in Q1 2025; shared ve,Meridian competitor Hexagon AG announces 30% capacity ramp in Q1 2025; shared vendor pool will face increased demand pressure in mechanical components.,,-0.3,0.75,0.4,scenario_1
SIG-013,2025-01-08,news,FX,Japanese yen weakness drives Tanaka Electrical and Nakamura Tooling to revise ex,Japanese yen weakness drives Tanaka Electrical and Nakamura Tooling to revise export price lists upward 6-9%. Effective February billing cycles.,,-0.4,0.87,0.5,scenario_1
SIG-014,2025-02-20,rumor,Market,Multiple Tier-1 OEMs report Guangzhou Mech & Elec offering 20%+ below-market quo,Multiple Tier-1 OEMs report Guangzhou Mech & Elec offering 20%+ below-market quotes; two quality incidents flagged. Procurement teams advised caution.,,-0.2,0.5,0.4,scenario_1
SIG-015,2025-03-05,price_data,Argus Media,Neodymium oxide prices surge 28% after China announces export quota cuts; servo ,Neodymium oxide prices surge 28% after China announces export quota cuts; servo motor and magnet supply chain in alarm. 6-week lead time extension expected.,Neodymium Magnets|Servo Motor 5kW,-0.9,0.96,0.9,scenario_6
SIG-016,2025-04-12,policy,G7,G7 nations agree coordinated critical minerals strategy; rare earth import diver,G7 nations agree coordinated critical minerals strategy; rare earth import diversification incentives begin Q3 2025. Indian rare earth exporters positioned to benefit.,Neodymium Magnets|Titanium Sponge,0.4,0.8,0.5,scenario_1
SIG-017,2025-05-01,financial_report,Reuters,Nordic Steel AS secures €150M green bond; investment earmarked for EAF capacity ,Nordic Steel AS secures €150M green bond; investment earmarked for EAF capacity expansion. Analysts raise quality and delivery outlook for H2 2025.,Steel HR Coil|Stainless 316L,0.6,0.9,0.4,scenario_1
SIG-018,2025-06-10,policy,Trade,India-EU FTA finalised; zero-duty access for Indian raw material exporters phase,India-EU FTA finalised; zero-duty access for Indian raw material exporters phased over 5 years. Patel Alloys and Indra Copper Works flagged as immediate beneficiaries.,Stainless 316L|Copper Wire Rod,0.5,0.88,0.5,scenario_1
