event_id,event_date,scenario,event_type,description,severity_1_10,affected_agent_roles,injection_round,expected_market_impact,mitigation_option_1,mitigation_option_2
WE-001,2024-07-04,scenario_6,supply_disruption,Hamburg port strike: 3-week backlog. Air freight premium +40%.,9,vendor_agent|buyer_agent,5,Major disruption: 3% bid price effect,Airfreight escalation,Contractual price lock
WE-002,2024-09-02,scenario_6,policy_shock,US 25% aluminium tariff. +7% spot price. Margin squeeze on US-aluminium-exposed vendors.,8,vendor_agent|market_agent,8,Major disruption: 9% bid price effect,Airfreight escalation,Contractual price lock
WE-003,2025-03-05,scenario_6,supply_disruption,China rare earth quota cut. Neodymium +28%. 6-week lead time crisis.,9,vendor_agent|buyer_agent,12,Major disruption: 21% bid price effect,Backup vendor activation,Contractual price lock
WE-004,2024-03-28,scenario_6,policy_shock,EU anti-dumping duties 18.7% on Chinese electrical components. Guangzhou loses price advantage.,7,vendor_agent,3,Major disruption: 22% bid price effect,Backup vendor activation,Extended payment terms
WE-005,2025-01-08,scenario_6,fx_shock,JPY weakness causes Japanese vendors to raise export prices 6-9%.,6,vendor_agent,15,Moderate disruption: 21% bid price effect,Backup vendor activation,Spot market hedge
WE-006,2024-10-11,scenario_6,logistics_shock,Suez rerouting: Asia-Europe +12-14 days. Indian and Chinese vendor buffer stock depleted.,7,vendor_agent|market_agent,10,Major disruption: 11% bid price effect,Airfreight escalation,Spot market hedge
WE-007,2024-08-15,scenario_1,financial_signal,Cerro Negro Q2 weak results; CFO signals aggressive pricing H2 2024.,5,vendor_agent,2,Moderate disruption: 20% bid price effect,Airfreight escalation,Contractual price lock
WE-008,2024-06-20,scenario_1,rumor,"Tanaka capacity expansion rumour — if true, lead times drop 30% H2.",3,vendor_agent,1,Moderate disruption: 9% bid price effect,Airfreight escalation,Extended payment terms
WE-009,2024-12-19,scenario_1,demand_signal,Hexagon AG capacity ramp 30%: competing for same vendor pool. Supply tightness Q1 2025.,6,vendor_agent|competitor_agent,16,Moderate disruption: 22% bid price effect,Airfreight escalation,Contractual price lock
WE-010,2024-05-01,scenario_7,onboarding_event,Helios Micro Systems onboarded. Analogs: Vantage Sensors + Bright Spark.,4,vendor_agent,1,Moderate disruption: 12% bid price effect,Airfreight escalation,Contractual price lock
WE-011,2024-08-01,scenario_7,onboarding_event,Andean Precision SRL first RFQ. Analogs: Adriatic Fastenings + Türk Makina.,4,vendor_agent,6,Moderate disruption: 17% bid price effect,Inventory buffer +30d,Force majeure invocation
WE-012,2024-10-15,scenario_7,onboarding_event,Sahara Industrial FZE evaluated. Analogs: Cerro Negro + Coastal Alloys.,5,vendor_agent,10,Moderate disruption: 15% bid price effect,Backup vendor activation,Force majeure invocation
WE-013,2024-09-20,scenario_1,buyer_behaviour,Meridian cash flow stress peaks Sep-Nov 2024; payment lateness increases; Kovacs and Fischer flag concerns.,7,buyer_agent,9,Major disruption: 19% bid price effect,Dual-source strategy,Force majeure invocation
WE-014,2025-04-01,scenario_1,relationship_signal,Patel Alloys win rate climbs to 38% after 9 months of forecast sharing; Meridian shortlists them preferentially.,5,vendor_agent|buyer_agent,16,Moderate disruption: 18% bid price effect,Inventory buffer +30d,Force majeure invocation
WE-015,2025-02-01,scenario_6,vendor_exit,Guangzhou Mech & Elec effectively exits Meridian vendor pool; health score 31; no responses to last 4 RFQs.,8,vendor_agent,14,Major disruption: 3% bid price effect,Airfreight escalation,Contractual price lock
