so_line_id,sales_order_id,line_no,material_code,description,category,quantity,unit,unit_price_usd,line_value_usd
SO-2024-0001-L01,SO-2024-0001,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,87,pcs,171.99,14963.13
SO-2024-0001-L02,SO-2024-0001,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,38,pcs,406.05,15429.9
SO-2024-0002-L01,SO-2024-0002,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,43,m,14.9,640.7
SO-2024-0002-L02,SO-2024-0002,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,108,MT,762.66,82367.28
SO-2024-0002-L03,SO-2024-0002,3,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,56,pcs,363.79,20372.24
SO-2024-0002-L04,SO-2024-0002,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,14,kg,4.3,60.2
SO-2024-0002-L05,SO-2024-0002,5,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,25,kg,4.28,107.0
SO-2024-0003-L01,SO-2024-0003,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,115,kg,4.18,480.7
SO-2024-0003-L02,SO-2024-0003,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,56,kg,3.02,169.12
SO-2024-0003-L03,SO-2024-0003,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,52,pcs,1804.49,93833.48
SO-2024-0003-L04,SO-2024-0003,4,RAW-4405,HDPE Rod 50mm dia,Raw Materials,18,m,13.91,250.38
SO-2024-0004-L01,SO-2024-0004,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,54,pcs,175.25,9463.5
SO-2024-0004-L02,SO-2024-0004,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,58,pcs,389.93,22615.94
SO-2024-0004-L03,SO-2024-0004,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,115,kg,4.64,533.6
SO-2024-0005-L01,SO-2024-0005,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,70,m,21.73,1521.1
SO-2024-0005-L02,SO-2024-0005,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,117,pcs,32.32,3781.44
SO-2024-0005-L03,SO-2024-0005,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,7,pcs,14.72,103.04
SO-2024-0006-L01,SO-2024-0006,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,117,pcs,1902.85,222633.45
SO-2024-0006-L02,SO-2024-0006,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,91,pcs,398.82,36292.62
SO-2024-0006-L03,SO-2024-0006,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,73,kg,3.81,278.13
SO-2024-0006-L04,SO-2024-0006,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,18,kg,3.89,70.02
SO-2024-0006-L05,SO-2024-0006,5,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,117,pcs,16.12,1886.04
SO-2024-0006-L06,SO-2024-0006,6,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,51,pcs,121.73,6208.23
SO-2024-0007-L01,SO-2024-0007,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,14,pcs,1765.9,24722.6
SO-2024-0007-L02,SO-2024-0007,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,62,pcs,401.15,24871.3
SO-2024-0007-L03,SO-2024-0007,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,40,kg,4.52,180.8
SO-2024-0008-L01,SO-2024-0008,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,106,pcs,114.64,12151.84
SO-2024-0008-L02,SO-2024-0008,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,76,pcs,1931.68,146807.68
SO-2024-0009-L01,SO-2024-0009,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,71,pcs,398.28,28277.88
SO-2024-0009-L02,SO-2024-0009,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,82,m,17.36,1423.52
SO-2024-0009-L03,SO-2024-0009,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,22,kg,4.16,91.52
SO-2024-0009-L04,SO-2024-0009,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,83,pcs,32.46,2694.18
SO-2024-0009-L05,SO-2024-0009,5,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,55,pcs,1947.18,107094.9
SO-2024-0009-L06,SO-2024-0009,6,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,99,pcs,20.74,2053.26
SO-2024-0010-L01,SO-2024-0010,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,52,pcs,16.65,865.8
SO-2024-0010-L02,SO-2024-0010,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,19,kg,3.78,71.82
SO-2024-0010-L03,SO-2024-0010,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,79,pcs,105.77,8355.83
SO-2024-0010-L04,SO-2024-0010,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,120,kg,4.36,523.2
SO-2024-0010-L05,SO-2024-0010,5,RAW-4405,HDPE Rod 50mm dia,Raw Materials,93,m,15.78,1467.54
SO-2024-0010-L06,SO-2024-0010,6,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,81,pcs,398.98,32317.38
SO-2024-0011-L01,SO-2024-0011,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,26,pcs,113.35,2947.1
SO-2024-0011-L02,SO-2024-0011,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,97,pcs,18.96,1839.12
SO-2024-0012-L01,SO-2024-0012,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,19,pcs,101.68,1931.92
SO-2024-0012-L02,SO-2024-0012,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,61,kg,3.18,193.98
SO-2024-0013-L01,SO-2024-0013,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,71,m,19.66,1395.86
SO-2024-0013-L02,SO-2024-0013,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,46,pcs,129.93,5976.78
SO-2024-0013-L03,SO-2024-0013,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,66,pcs,18.2,1201.2
SO-2024-0013-L04,SO-2024-0013,4,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,45,kg,3.76,169.2
SO-2024-0013-L05,SO-2024-0013,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,63,pcs,416.48,26238.24
SO-2024-0013-L06,SO-2024-0013,6,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,48,pcs,35.65,1711.2
SO-2024-0014-L01,SO-2024-0014,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,33,pcs,21.53,710.49
SO-2024-0014-L02,SO-2024-0014,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,43,pcs,248.56,10688.08
SO-2024-0014-L03,SO-2024-0014,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,95,kg,4.03,382.85
SO-2024-0014-L04,SO-2024-0014,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,95,kg,3.98,378.1
SO-2024-0014-L05,SO-2024-0014,5,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,66,pcs,367.9,24281.4
SO-2024-0014-L06,SO-2024-0014,6,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,106,kg,3.55,376.3
SO-2024-0015-L01,SO-2024-0015,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,10,m,13.73,137.3
SO-2024-0015-L02,SO-2024-0015,2,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,96,pcs,90.13,8652.48
SO-2024-0015-L03,SO-2024-0015,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,61,pcs,1846.79,112654.19
SO-2024-0015-L04,SO-2024-0015,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,100,pcs,34.71,3471.0
SO-2024-0015-L05,SO-2024-0015,5,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,30,kg,4.52,135.6
SO-2024-0016-L01,SO-2024-0016,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,80,pcs,153.37,12269.6
SO-2024-0016-L02,SO-2024-0016,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,11,pcs,118.44,1302.84
SO-2024-0016-L03,SO-2024-0016,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,72,kg,3.1,223.2
SO-2024-0017-L01,SO-2024-0017,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,75,pcs,179.23,13442.25
SO-2024-0017-L02,SO-2024-0017,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,25,MT,726.62,18165.5
SO-2024-0017-L03,SO-2024-0017,3,RAW-4403,Copper Busbar 40×4mm,Raw Materials,117,m,25.03,2928.51
SO-2024-0017-L04,SO-2024-0017,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,66,pcs,37.11,2449.26
SO-2024-0017-L05,SO-2024-0017,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,101,pcs,418.56,42274.56
SO-2024-0018-L01,SO-2024-0018,1,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,58,pcs,254.11,14738.38
SO-2024-0018-L02,SO-2024-0018,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,27,pcs,414.71,11197.17
SO-2024-0018-L03,SO-2024-0018,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,9,kg,3.8,34.2
SO-2024-0018-L04,SO-2024-0018,4,RAW-4403,Copper Busbar 40×4mm,Raw Materials,55,m,24.3,1336.5
SO-2024-0018-L05,SO-2024-0018,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,28,pcs,417.46,11688.88
SO-2024-0018-L06,SO-2024-0018,6,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,116,pcs,40.96,4751.36
SO-2024-0019-L01,SO-2024-0019,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,72,kg,3.99,287.28
