signal_id,date,signal_type,source,headline,full_text,affected_commodities,sentiment_score,credibility_score,cascade_potential,mirofish_tag
SIG-001,2024-02-14,news,Supply chain,Steel mills in Germany report 8% capacity reduction due to energy cost pressures,Steel mills in Germany report 8% capacity reduction due to energy cost pressures; lead times for HR coil extending to 10-12 weeks.,Steel HR Coil,-0.4,0.85,0.6,scenario_1
SIG-002,2024-03-28,policy,EU Trade,EU Commission introduces anti-dumping duties of 18.7% on certain Chinese electri,EU Commission introduces anti-dumping duties of 18.7% on certain Chinese electrical components effective April 15.,PCB FR4 Laminate|Servo Motor 5kW,-0.7,0.92,0.8,scenario_6
SIG-003,2024-05-10,price_data,LME,"Copper touches 2-year high of $9,450/MT on LME amid supply constraints from Chil","Copper touches 2-year high of $9,450/MT on LME amid supply constraints from Chilean mines; analysts expect sustained pressure.",Copper Wire Rod,-0.5,0.95,0.7,scenario_6
SIG-004,2024-06-20,rumor,Industry,Unconfirmed reports suggest Tanaka Electrical considering capacity expansion; co,Unconfirmed reports suggest Tanaka Electrical considering capacity expansion; could reduce lead times H2 2024.,,0.3,0.4,0.3,background
SIG-005,2024-07-04,news,Geopolitical,Port of Hamburg faces 3-week backlog following dock worker strike; automotive an,Port of Hamburg faces 3-week backlog following dock worker strike; automotive and industrial shipments most affected.,Steel HR Coil|Stainless 316L,-0.8,0.9,0.75,scenario_6
SIG-006,2024-08-15,financial_report,Reuters,Cerro Negro Metals Q2 results: revenue down 12% YoY; CFO hints at aggressive pri,Cerro Negro Metals Q2 results: revenue down 12% YoY; CFO hints at aggressive pricing to recapture market share.,Steel HR Coil|Aluminium 6061,0.2,0.88,0.5,scenario_1
SIG-007,2024-09-02,policy,US Trade,US imposes 25% tariff on aluminium imports from select Southeast Asian countries,US imposes 25% tariff on aluminium imports from select Southeast Asian countries; global aluminium markets react with +7% spike.,Aluminium 6061,-0.6,0.94,0.8,scenario_6
SIG-008,2024-10-11,news,Logistics,Suez Canal alternative routing adds 12-14 days to Asia-Europe shipments; Indian ,Suez Canal alternative routing adds 12-14 days to Asia-Europe shipments; Indian and Chinese vendor lead times under pressure.,,-0.5,0.88,0.65,scenario_1
SIG-009,2024-11-05,price_data,Fastmarkets,Stainless 316L premiums in Europe reach 18-month high; tightening scrap availabi,Stainless 316L premiums in Europe reach 18-month high; tightening scrap availability cited as primary driver.,Stainless 316L,-0.4,0.92,0.55,scenario_1
SIG-010,2024-12-19,news,Industry,Meridian competitor Hexagon AG announces 30% capacity ramp in Q1 2025; potential,Meridian competitor Hexagon AG announces 30% capacity ramp in Q1 2025; potential demand uplift for common vendor pool.,,-0.3,0.75,0.4,scenario_1
SIG-011,2025-01-08,news,Supply chain,Japanese yen weakness drives Tanaka Electrical and Nakamura Tooling to revise ex,Japanese yen weakness drives Tanaka Electrical and Nakamura Tooling to revise export price lists upward by 6-9%.,,-0.4,0.87,0.5,scenario_1
SIG-012,2025-02-20,rumor,Market,Multiple buyers report Guangzhou Mech & Elec offering 20% below-market quotes; q,Multiple buyers report Guangzhou Mech & Elec offering 20% below-market quotes; quality concerns flagged by two Tier-1 OEMs.,,-0.2,0.5,0.4,scenario_1
SIG-013,2025-03-05,price_data,Argus Media,Neodymium oxide prices surge 28% after China announces export quota cuts; servo ,Neodymium oxide prices surge 28% after China announces export quota cuts; servo motor and magnet supply chain in alarm.,Neodymium Magnets|Servo Motor 5kW,-0.9,0.96,0.9,scenario_6
SIG-014,2025-04-12,policy,G7,G7 nations agree on coordinated critical minerals strategy; rare earth import di,G7 nations agree on coordinated critical minerals strategy; rare earth import diversification incentives to begin Q3 2025.,Neodymium Magnets|Titanium Sponge,0.4,0.8,0.5,scenario_1
SIG-015,2025-05-01,news,Financial,Nordic Steel AS secures €150M green bond; investment earmarked for EAF capacity;,Nordic Steel AS secures €150M green bond; investment earmarked for EAF capacity; analysts raise quality and delivery outlook.,Steel HR Coil|Stainless 316L,0.6,0.9,0.4,scenario_1
SIG-016,2025-06-10,news,Geopolitical,India-EU FTA finalised; zero-duty access for Indian raw material exporters phase,India-EU FTA finalised; zero-duty access for Indian raw material exporters phased in over 5 years; Patel Alloys and Indra Copper to benefit.,Stainless 316L|Copper Wire Rod,0.5,0.88,0.5,scenario_1
