email_id,rfq_id,vendor_id,direction,timestamp,from_email,to_email,subject,body_snippet,bid_amount_usd,delivery_days
EML-00001,RFQ-0001,V009,outbound,2025-04-23 09:15:00,procurement@meridian-industrial.com,nathan@fischersöhne.com,Request for Quotation – RFQ-0001 – Mechanical Parts,"Dear Nathan, please find attached our RFQ RFQ-0001 for Mechanical Parts components. Bid deadline: 2025-05-12. Target delivery: 2025-06-06. Please confirm receipt.",,
EML-00002,RFQ-0001,V009,inbound,2025-05-12 15:14:00,nathan@fischersöhne.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Fischer & Söhne KG,"Dear Procurement Team, please find our quotation for RFQ-0001. Unit price: USD 269.91. Total: USD 33,738.75. Lead time: 53 days. Valid 30 days. We look forward to your favourable consideration.",33738.75,53.0
EML-00003,RFQ-0001,V024,outbound,2025-04-23 09:15:00,procurement@meridian-industrial.com,tim@baltictechua.com,Request for Quotation – RFQ-0001 – Mechanical Parts,"Dear Tim, please find attached our RFQ RFQ-0001 for Mechanical Parts components. Bid deadline: 2025-05-12. Target delivery: 2025-06-04. Please confirm receipt.",,
EML-00004,RFQ-0001,V024,inbound,2025-05-09 08:43:00,tim@baltictechua.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – BalticTech UAB,"Dear Procurement Team, please find our quotation for RFQ-0001. Unit price: USD 267.69. Total: USD 33,461.25. Lead time: 21 days. Valid 30 days. We look forward to your favourable consideration.",33461.25,21.0
EML-00005,RFQ-0001,V022,outbound,2025-04-23 09:15:00,procurement@meridian-industrial.com,stephen@andeanprecis.com,Request for Quotation – RFQ-0001 – Mechanical Parts,"Dear Stephen, please find attached our RFQ RFQ-0001 for Mechanical Parts components. Bid deadline: 2025-05-12. Target delivery: 2025-05-29. Please confirm receipt.",,
EML-00006,RFQ-0001,V022,inbound,2025-04-24 09:09:00,stephen@andeanprecis.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0001,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-05-12. We are pleased to support Meridian's requirements.,,
EML-00007,RFQ-0001,V022,inbound,2025-05-09 13:12:00,stephen@andeanprecis.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Andean Precision SRL,"Dear Procurement Team, please find our quotation for RFQ-0001. Unit price: USD 242.76. Total: USD 30,345.00. Lead time: 14 days. Valid 30 days. We look forward to your favourable consideration.",30345.0,14.0
EML-00008,RFQ-0001,V001,outbound,2025-04-23 09:15:00,procurement@meridian-industrial.com,allison@kovacsprecis.com,Request for Quotation – RFQ-0001 – Mechanical Parts,"Dear Allison, please find attached our RFQ RFQ-0001 for Mechanical Parts components. Bid deadline: 2025-05-12. Target delivery: 2025-06-07. Please confirm receipt.",,
EML-00009,RFQ-0001,V001,inbound,2025-04-25 15:17:00,allison@kovacsprecis.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0001,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-05-12. We are pleased to support Meridian's requirements.,,
EML-00010,RFQ-0001,V001,inbound,2025-05-10 15:32:00,allison@kovacsprecis.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Kovacs Precision GmbH,"Dear Procurement Team, please find our quotation for RFQ-0001. Unit price: USD 265.10. Total: USD 33,137.50. Lead time: 35 days. Valid 30 days. We look forward to your favourable consideration.",33137.5,35.0
EML-00011,RFQ-0001,V007,outbound,2025-04-23 09:15:00,procurement@meridian-industrial.com,jessica@nakamuratool.com,Request for Quotation – RFQ-0001 – Mechanical Parts,"Dear Jessica, please find attached our RFQ RFQ-0001 for Mechanical Parts components. Bid deadline: 2025-05-12. Target delivery: 2025-06-09. Please confirm receipt.",,
EML-00012,RFQ-0001,V007,inbound,2025-04-25 15:31:00,jessica@nakamuratool.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0001,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-05-12. We are pleased to support Meridian's requirements.,,
EML-00013,RFQ-0001,V007,inbound,2025-05-11 08:11:00,jessica@nakamuratool.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Nakamura Tooling Co.,"Dear Procurement Team, please find our quotation for RFQ-0001. Unit price: USD 268.42. Total: USD 33,552.50. Lead time: 53 days. Valid 30 days. We look forward to your favourable consideration.",33552.5,53.0
EML-00014,RFQ-0001,V017,outbound,2025-04-23 09:15:00,procurement@meridian-industrial.com,amy@türkmakinaaş.com,Request for Quotation – RFQ-0001 – Mechanical Parts,"Dear Amy, please find attached our RFQ RFQ-0001 for Mechanical Parts components. Bid deadline: 2025-05-12. Target delivery: 2025-06-05. Please confirm receipt.",,
EML-00015,RFQ-0001,V017,inbound,2025-04-24 09:42:00,amy@türkmakinaaş.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0001,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-05-12. We are pleased to support Meridian's requirements.,,
EML-00016,RFQ-0001,V017,inbound,2025-05-09 16:34:00,amy@türkmakinaaş.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Türk Makina A.Ş.,"Dear Procurement Team, please find our quotation for RFQ-0001. Unit price: USD 252.32. Total: USD 31,540.00. Lead time: 31 days. Valid 30 days. We look forward to your favourable consideration.",31540.0,31.0
EML-00017,RFQ-0001,V004,outbound,2025-04-23 09:15:00,procurement@meridian-industrial.com,sandra@strömberghyd.com,Request for Quotation – RFQ-0001 – Mechanical Parts,"Dear Sandra, please find attached our RFQ RFQ-0001 for Mechanical Parts components. Bid deadline: 2025-05-12. Target delivery: 2025-05-27. Please confirm receipt.",,
EML-00018,RFQ-0001,V004,inbound,2025-05-12 12:56:00,sandra@strömberghyd.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Strömberg Hydraulics AB,"Dear Procurement Team, please find our quotation for RFQ-0001. Unit price: USD 267.34. Total: USD 33,417.50. Lead time: 45 days. Valid 30 days. We look forward to your favourable consideration.",33417.5,45.0
EML-00019,RFQ-0001,V019,outbound,2025-04-23 09:15:00,procurement@meridian-industrial.com,daniel@emeraldislec.com,Request for Quotation – RFQ-0001 – Mechanical Parts,"Dear Daniel, please find attached our RFQ RFQ-0001 for Mechanical Parts components. Bid deadline: 2025-05-12. Target delivery: 2025-06-10. Please confirm receipt.",,
EML-00020,RFQ-0002,V010,outbound,2024-08-21 09:15:00,procurement@meridian-industrial.com,timothy@adriaticfast.com,Request for Quotation – RFQ-0002 – Mechanical Parts,"Dear Timothy, please find attached our RFQ RFQ-0002 for Mechanical Parts components. Bid deadline: 2024-09-03. Target delivery: 2024-10-03. Please confirm receipt.",,
EML-00021,RFQ-0002,V019,outbound,2024-08-21 09:15:00,procurement@meridian-industrial.com,daniel@emeraldislec.com,Request for Quotation – RFQ-0002 – Mechanical Parts,"Dear Daniel, please find attached our RFQ RFQ-0002 for Mechanical Parts components. Bid deadline: 2024-09-03. Target delivery: 2024-09-25. Please confirm receipt.",,
EML-00022,RFQ-0002,V019,inbound,2024-08-23 17:43:00,daniel@emeraldislec.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0002,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-09-03. We are pleased to support Meridian's requirements.,,
